longitude;latitude;gdh;label
14.672777777778;13.356111111111;08/03/2021 12:36;IED
-1.0050527777778;16.042616666667;08/03/2021 18:00;IED
-5.8238166666667;14.934766666667;10/03/2021 10:50;IED
-0.093969444444444;16.186866666667;12/03/2021 07:00;IED
-1.4195833333333;15.406455555556;12/03/2021 09:50;IED
-1.4177777777778;15.415;12/03/2021 10:00;IED
13.828888888889;13.080277777778;12/03/2021 11:14;IED
37.183333333333;32.108055555556;13/03/2021 08:15;EO
1.436775;18.422775;13/03/2021 09:28;EO
0.99778888888889;20.244641666667;14/03/2021 10:00;EO
-1.3080555555556;15.823555555556;14/03/2021 11:57;EO
-2.2159055555556;15.096705555556;18/03/2021 08:55;IED
0.83444444444444;20.1925;18/03/2021 12:15;EO
-0.0032;16.258725;22/03/2021 13:50;EO
-0.000019444444444444;16.258333333333;22/03/2021 16:00;EO
-1.7167833333333;15.288383333333;22/03/2021 17:50;IED + ALI
-1.2594722222222;15.889805555556;24/03/2021 08:03;IED
1.41945;18.404488888889;26/03/2021 06:50;EO
-1.8069444444444;15.176111111111;28/03/2021 08:50;IED
37.135972222222;32.178583333333;29/03/2021 10:30;IED
-0.12583333333333;16.275277777778;30/03/2021 10:00;EO
-2.8999166666667;15.181777777778;30/03/2021 11:15;IED
-1.4023277777778;15.387877777778;30/03/2021 17:00;IED
-1.2608333333333;15.890555555556;31/03/2021 07:33;IED
-1.9824388888889;15.943236111111;31/03/2021 09:40;EO + ALI
-1.9822222222222;15.943333333333;31/03/2021 10:01;IED
-5.350119;11.943081;31/03/2021 10:48;IED
-4.3410907529437;9.5127324184223;01/04/2021 10:00;IED
0.86111111111111;19.463888888889;02/04/2021 06:05;IED + EO +ALI
-0.18138888888889;14.898055555556;02/04/2021 08:00;IED
37.183333333333;32.108055555556;03/04/2021 07:30;EO
-5.116506;14.129614;03/04/2021 08:00;IED
1.404444;18.421817;07/04/2021 10:04;IED
37.186215;32.158256666667;08/04/2021 08:15;EO
2.368344;15.924381;08/04/2021 12:49;EO
37.183333333333;32.108055555556;10/04/2021 07:30;EO
-3.0239202777778;16.760598611111;10/04/2021 07:55;EO
-4.425621;14.088005;10/04/2021 10:00;IED
0.98018333333333;20.258972222222;10/04/2021 11:17;EO
35.509305115044;33.195004134392;10/04/2021 12:30;EO
1.6686472222222;14.916666666667;11/04/2021 10:00;IED
-4.6105;9.1485;12/04/2021 10:00;IED
-4.887514;15.716222;13/04/2021 08:50;IED
-0.00275;16.258916666667;15/04/2021 05:45;EO
2.3746044616368;15.925275157708;15/04/2021 12:45;EO
3.8936111111111;15.308333333333;17/04/2021 09:46;IED
1.9461111111111;14.766694444444;18/04/2021 10:00;IED
0.91666666666667;19.493333333333;19/04/2021 08:00;EO
-4.4871916666667;14.099941666667;19/04/2021 10:30;IED
-0.00565;16.245744444444;20/04/2021 05:45;EO
-1.3033805555556;16.068769444444;20/04/2021 09:45;EO + ALI
1.4333333333333;18.333333333333;20/04/2021 11:30;EO
0.1475;16.621666666667;21/04/2021 16:55;IED
2.3717469;15.9368742;21/04/2021 20:36;EO
1.3788888888889;18.479722222222;23/04/2021 13:00;EO
-2.8763894168263;16.733111727895;24/04/2021 09:15;IED
0.98355;20.257752777778;25/04/2021 15:36;EO
-1.2426444444444;15.854238888889;28/04/2021 06:20;EO
2.3866337155592;15.923519757656;29/04/2021 08:20;EO
37.18333258213;32.108050524975;01/05/2021 07:30;EO
0.64142833412717;15.051210919715;01/05/2021 11:00;EO + ALI
-4.3026166666667;9.5936777777778;03/05/2021 07:30;IED
-0.0047222222222222;16.256111111111;05/05/2021 09:00;EO
-1.7352777777778;15.294722222222;07/05/2021 12:00;EO
-1.2442222222222;15.905527777778;08/05/2021 09:00;IED
0.959375;20.273386111111;08/05/2021 09:20;EO
0.55223519202396;13.228582534519;08/05/2021 12:00;IED
13.889166666667;13.842777777778;09/05/2021 08:30;IED
-1.8022222222222;15.183611111111;09/05/2021 08:40;IED
-2.3215166666667;14.853158333333;10/05/2021 10:00;EO
-1.307611;14.786583;11/05/2021 10:00;IED
-2.730688;14.114341;11/05/2021 12:10;IED
-2.5457416666667;14.73475;11/05/2021 15:30;IED
-2.1227777777778;14.874444444444;12/05/2021 10:25;IED
-1.418916;15.415055;13/05/2021 09:50;IED
-2.2313638888889;14.912638888889;13/05/2021 17:59;IED
37.183333333333;32.10805;14/05/2021 10:30;EO
-2.3657777777778;14.872055555556;14/05/2021 18:08;EO
-1.5441666666667;14.661666666667;14/05/2021 20:33;IED
-0.0027777777777778;16.258611111111;16/05/2021 06:33;EO
-4.0341888888889;14.228419444444;16/05/2021 07:00;IED + EO
-1.2581194444444;15.888903333333;17/05/2021 10:00;IED
-5.966003;14.782742;17/05/2021 13:45;IED
35.704748039698;33.348696191741;17/05/2021 23:23;EO
1.0327694444444;12.354797222222;18/05/2021 00:00;IED
-1.2333388888889;15.877619444444;18/05/2021 07:00;IED
-2.2455555555556;15.067777777778;18/05/2021 09:24;EO
-2.7064694444444;15.073333333333;18/05/2021 11:10;IED
35.2131;33.2283;19/05/2021 12:00;EO
-0.32777777777778;16.013611111111;19/05/2021 14:00;IED
35.289437630957;33.190859027281;19/05/2021 16:52;EO
-2.0296083333333;15.105227777778;20/05/2021 08:00;IED
-2.2538166666667;15.220708333333;21/05/2021 13:45;IED
-0.23706388888889;15.570322222222;22/05/2021 12:00;IED
-2.9465;14.197444;22/05/2021 13:15;IED
-0.0027777777777778;16.258611111111;23/05/2021 05:30;EO
-4.032219;14.271017;23/05/2021 10:15;IED
-4.084013;14.169529;23/05/2021 10:30;IED
-1.9436388888889;14.677388888889;23/05/2021 11:30;IED
1.9619444444444;15.904166666667;23/05/2021 12:05;IED
0.12721565263358;17.571938821007;24/05/2021 08:45;IED
37.183333333333;32.10805;24/05/2021 09:29;EO
1.2772305555556;12.353538888889;24/05/2021 10:00;IED
-1.8105555555556;14.856666666667;25/05/2021 09:15;EO
-1.7655593055556;13.899716666667;25/05/2021 10:00;IED
0.96944444444444;20.266388888889;25/05/2021 10:00;EO
-4.2452027777778;9.5855888888889;25/05/2021 18:00;IED
-4.3118694444444;9.5855888888889;26/05/2021 10:00;IED
1.3538888888889;12.95;27/05/2021 09:15;IED
-2.4228397138588;16.78903720912;27/05/2021 12:27;EO
0.69666666666667;20.271111111111;27/05/2021 12:30;IED
-3.8744388888889;15.058058333333;27/05/2021 19:30;IED
1.2772330277778;12.3535405;28/05/2021 08:00;IED
37.183333333333;32.10805;28/05/2021 15:00;EO
37.183333333333;32.10805;28/05/2021 15:00;EO
-4.3822;13.9955;29/05/2021 08:30;IED
2.3541666666667;15.928333333333;29/05/2021 12:58;IED
-2.8492777777778;15.024669444444;31/05/2021 08:00;IED
0.85938194444444;19.461654444444;01/06/2021 06:31;EO
-2.9952777777778;16.731194444444;01/06/2021 14:55;EO
-1.2593611111111;15.889744444444;02/06/2021 15:43;EO
-1.259;15.889027777778;02/06/2021 16:32;IED
37.135972222222;32.178583333333;03/06/2021 19:02;IED
1.5144444444444;12.856388888889;04/06/2021 14:30;IED
